Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathogenesis Of SARS CoV 2 Mediated By Nsp9 Nsp10 Complex WP4884	12/21	4.087291526941671E-4	0.028179226650828955	0	0	4.855947955390334	37.88832919340246	CD2;ZAP70;IL6;CXCL8;CD8B;CD8A;IGLL1;LCK;CD3G;FYN;LBP;CD3E
GPCRs Other WP117	34/91	4.237477691853978E-4	0.028179226650828955	0	0	2.1768725878217263	16.906402670073213	GPR61;ADRA1D;GPR83;GPR62;GPR84;ADRB2;CELSR2;CELSR3;GRM1;ADGRE2;GPR176;GPR132;HTR7;CXCR1;CNR1;ADORA3;CXCR3;CXCR2;S1PR1;CCR5;DRD4;P2RY13;ADGRV1;F2R;GPR55;SSTR2;GPR162;GPR143;SMO;ADGRF5;ACKR1;LGR6;OR3A1;ADGRL3
Adipogenesis WP236	45/131	5.022671353868385E-4	0.029357613244625064	0	0	1.910967966763407	14.516435857675681	CNTFR;CEBPA;CDKN1A;EPAS1;ASIP;IRS4;TWIST1;LPL;SLC2A4;GATA2;TNF;FOXO1;LIPE;CYP26B1;SOCS1;NRIP1;E2F1;PCK1;RXRG;PCK2;FZD1;WNT5B;GADD45A;ADIPOQ;EBF1;HMGA1;HNF1A;IGF1;KLF15;DLK1;AGT;BMP3;IL6;BMP2;KLF5;SCD;PNPLA3;ID3;PPARG;PLIN2;PLIN1;IL6ST;PPARA;LPIN1;MIXL1
Biotin Metabolism Including IMDs WP5031	7/9	5.15045846396931E-4	0.029357613244625064	0	0	12.737758180552332	96.44081071665873	BTD;PC;PCCA;PCCB;MCCC1;ACACB;ACACA
Omega 9 Fatty Acid Synthesis WP4724	9/14	6.911775979643581E-4	0.035943831121332696	0	0	6.552635244950081	47.684272048620976	FADS2;ELOVL5;ACSL1;SCD;FASN;ACOT2;ELOVL6;ACSL4;FADS1
PI3K Akt Signaling WP4172	98/338	7.524047638199591E-4	0.035943831121332696	0	0	1.4950924608819345	10.753058013437723	CHRM1;FGF2;COMP;PPP2R1B;CCND1;FGF9;CREB3L4;MYC;AKT2;AKT3;KDR;MAP2K1;HGF;F2R;RPS6;PGF;COL4A2;COL4A1;COL4A4;COL4A3;PDGFB;PDGFA;TGFA;LPAR2;LPAR3;EFNA4;FGF20;PCK1;PCK2;BDNF;IGF2;FN1;IGF1;GNG11;FGF17;EFNA3;IL6;LPAR5;IL7;ITGA10;GNB3;COL9A3;COL9A2;IL7R;FGF13;FGFR4;FGFR3;FGF12;FGFR2;ITGB1;CDKN1A;FLT1;LAMC3;ITGB4;ITGB3;PTEN;PIK3CD;FASLG;PRL;LAMC1;GYS2;GHR;GYS1;ITGB8;ITGB7;VWF;ITGA2;ITGA1;PPP2R5A;NGF;COL2A1;KIT;ITGA7;SGK3;ITGA5;SOS1;TLR4;SGK2;TLR2;CREB5;LAMA1;LAMA4;IL2RG;THBS4;NTF4;GNG2;GNG7;NTF3;NTRK1;ANGPT4;ANGPT2;LAMB3;ANGPT1;NOS3;EGF;VEGFB;VEGFC;TEK
Fatty Acid Beta Oxidation WP143	16/34	8.430291641282144E-4	0.035943831121332696	0	0	3.238449612403101	22.92339474336354	ACSS2;ECHS1;CHKB;ACSL1;ACSL6;LPL;ACSL4;ACAT1;LIPE;ACADL;SLC25A20;ACADM;HADH;DLD;DECR1;PNPLA2
Endochondral Ossification With Skeletal Dysplasias WP4808	25/63	8.558055028888737E-4	0.035943831121332696	0	0	2.3988396766794637	16.9441259113635	FGF2;PTHLH;GHR;ADAMTS4;ACAN;ADAMTS1;SERPINH1;TIMP3;SOX9;PRKACA;NKX3-2;SOX5;TGFB2;HMGCS1;IGF2;IGF1;RUNX3;MMP9;BMP7;RUNX2;BMP6;COL2A1;CALM1;FGFR3;DDR2
Endochondral Ossification WP474	25/63	8.558055028888737E-4	0.035943831121332696	0	0	2.3988396766794637	16.9441259113635	FGF2;PTHLH;GHR;ADAMTS4;ACAN;ADAMTS1;SERPINH1;TIMP3;SOX9;PRKACA;NKX3-2;SOX5;TGFB2;HMGCS1;IGF2;IGF1;RUNX3;MMP9;BMP7;RUNX2;BMP6;COL2A1;CALM1;FGFR3;DDR2
Focal Adhesion WP306	62/199	9.986410654402248E-4	0.039845778511064966	0	0	1.6539418460598698	11.427274645538755	ITGB1;FLT1;ITGB4;LAMC3;ITGB3;PTEN;TESK2;PIK3CD;LAMC1;COMP;CCND1;AKT2;AKT3;KDR;RAC2;ITGB8;ITGB7;MAP2K1;VWF;HGF;ITGA2;ITGA1;PGF;FGR;COL2A1;COL4A2;COL4A1;COL4A4;ITGA7;TLN2;ITGA5;TLN1;SOS1;BIRC3;BLK;SHC4;ROCK2;LAMA1;LAMA4;PDGFB;PDGFA;THBS4;PAK6;FYN;PAK3;PAK4;SRMS;LAMB3;CAV2;EGF;CAV1;TNK1;FN1;VEGFB;VEGFC;PTK6;IGF1;PARVB;MAPK10;ITGA10;COL5A3;COL5A2
Cytokine Cytokine Receptor Interaction WP5473	76/255	0.0012176461786420523	0.045209464876043576	0	0	1.5526246442500264	10.419408806903702	ACVRL1;CNTFR;CXCL9;CXCL8;TNFRSF13B;IL26;CXCL17;FASLG;PRL;TNFRSF13C;CXCL13;CXCL3;TNF;CXCL2;CX3CL1;CXCL5;CXCL16;GHR;LEPR;TNFSF11;TNFRSF8;CCR6;CCR5;PF4V1;CCR2;TNFRSF18;IL18;NGF;TGFBR2;EDAR;IL23A;LTB;IL6ST;CCL14;CX3CR1;IL20RB;CXCR4;TNFRSF11B;CXCR6;TNFRSF11A;IL2RG;IL1RL1;IL1RL2;ACVR1C;CXCR1;CCL5;CXCR2;CCL4;IL21R;CCL3;TNFRSF17;TNFRSF14;CCL19;IL12RB1;TGFB2;CCL22;IL34;TNFRSF10C;BMP8B;IFNLR1;GDF3;BMP7;BMP6;IL22RA1;BMP3;IL6;CD40LG;IL7;TNFSF4;CD27;TNFSF9;ACKR3;INHA;IL7R;BMPR1B;CCL28
Lipid Metabolism Pathway WP3965	14/29	0.0012946772561872268	0.045209464876043576	0	0	3.399442119944212	22.60456942891196	ACSS2;PDHA1;ABHD5;ACACA;LIPE;ACLY;PRKAR2B;PRKACG;AKT2;FASN;AKT3;PLIN1;PRKACA;PNPLA2
PPAR Signaling WP3942	26/68	0.0013030296894097771	0.045209464876043576	0	0	2.257142857142857	14.994342641662463	AQP7;LPL;FADS2;ACADL;ME1;OLR1;ACADM;CD36;PCK1;RXRG;PCK2;ACSL1;ADIPOQ;ACSL6;ACSL4;SORBS1;FABP3;FABP4;FABP5;ACOX1;SCD;EHHADH;PPARG;PLIN1;PPARA;SLC27A2
Splicing Factor NOVA Regulated Synaptic Proteins WP4148	18/42	0.0015812481291049615	0.050473440281030374	0	0	2.732666356444858	17.624443127700598	CADM3;KCNJ6;CAV2;STXBP2;CLSTN1;CSN3;GRIK2;ANK3;PRKCZ;GRIN2B;RAP1GAP;GRIN1;EPB41L2;EPB41L3;MAP4;STX2;AGRN;MAPK4
Metabolic Reprogramming In Pancreatic Cancer WP5220	18/42	0.0015812481291049615	0.050473440281030374	0	0	2.732666356444858	17.624443127700598	GPI;PDHA1;SLC16A1;MDH1;GLS2;GFPT1;PDHB;HK2;CS;ACLY;SLC7A5;LDHA;FASN;ME1;PGM3;DLAT;LDLR;DLD
Linoleic Acid Metabolism Affected By SARS CoV 2 WP4853	5/6	0.0022993203125440034	0.06746586975448407	0	0	18.18951519369056	110.50388254711068	ACE2;FADS2;ELOVL5;ACOT2;FADS1
Fluoroacetic Acid Toxicity WP4966	5/6	0.0022993203125440034	0.06746586975448407	0	0	18.18951519369056	110.50388254711068	ALDH3A2;CS;ACSS2;ALDH2;ACO2
Extrafollicular And Follicular B Cell Activation By SARS CoV 2 WP5218	27/74	0.002367223500157336	0.06746586975448407	0	0	2.0944176840308955	12.662927920142764	CD82;ITGB2;CXCR4;CXCL13;TNF;ETS1;FOXO1;CD79A;ITGAX;SLAMF7;IL12A;CCL19;ICOS;ICOSLG;HSPA8;FCRL5;ZEB2;IL6;CD40LG;SELL;LOC102723996;IRF4;IRF8;CD69;PDCD1;MS4A1;TLR4
Disorders Of Folate Metabolism And Transport WP4259	10/19	0.002876382449167045	0.07677547483605648	0	0	4.044743768385199	23.66669318973445	QDPR;DHFR;ALDH1L1;MTHFD1;SHMT1;TYMS;ALDH1L2;FOLR1;FTCD;SLC19A1
Phosphodiesterases In Neuronal Function WP4222	21/54	0.002886296046468289	0.07677547483605648	0	0	2.318912054185628	13.560490416227811	GRIA1;GUCY1A2;GUCY1B1;PDE1C;PDE1B;PDE3B;PDE2A;ADCY1;GRIN2B;ADCY5;GRIN1;PDE11A;GRIN2A;PDE10A;PDE3A;PDE6B;DRD1;PDE7B;PDE8B;PRKACA;PDE7A
Transcription Factor Regulation In Adipogenesis WP3599	11/22	0.003012184962784348	0.07753947097748096	0	0	3.640650406504065	21.13430167479085	CEBPA;IL6;ADIPOQ;NRIP1;TWIST1;PPARG;SLC2A4;LPIN1;TNF;FOXO1;PCK2
Calcium Regulation In Cardiac Cells WP536	47/151	0.0038800481949410985	0.09675870186134364	0	0	1.6493233868497397	9.156891217916831	RYR1;GNAZ;RYR2;CHRM1;RGS14;ADRB1;ADRA1D;ARRB1;ADRB2;ADCY1;ADRA1B;PRKCZ;ADRA1A;GNAI1;ADCY5;GJC1;RGS5;RGS2;RGS3;GNG2;PLN;GRK5;RGS1;PRKAR2B;GJA5;GNG7;GJA4;ANXA6;SFN;PRKACA;RGS9;YWHAG;KCNB1;ATP1B3;ATP1B1;GNG11;GNAO1;PKIB;GJB1;GJB3;PKIA;CASQ2;RGS10;GNB3;PRKCQ;CAMK1;CALM1
Amino Acid Metabolism WP3925	31/91	0.0040304303163444365	0.09746313310432911	0	0	1.8838739789964993	10.387459068855064	MAOA;DBH;FTCD;LDHA;CBS;PDK4;ACADM;HADH;PCK1;ACSS1;GLUL;AOC3;ARG2;PDHA1;MDH1;GPT2;IDH1;MCCC1;PYCR1;FAH;ASS1;WARS1;CS;ACLY;PC;EHHADH;ALDH1A1;OGDH;ACO2;DLD;OTC
Cells And Molecules Involved In Acute Inflammatory Response WP4493	9/17	0.00444613231787629	0.10435334087250821	0	0	4.094613420013931	22.175282668638832	ITGB1;SELP;IL6;SELPLG;CXCL8;C6;ITGB2;ITGAL;TNF
Lung Fibrosis WP3624	23/63	0.004766371960103405	0.10739360076975527	0	0	2.0953412532028883	11.202050251872942	RTEL1;CXCL8;EGF;HGF;PDGFB;TGFA;PDGFA;IGF1;MUC5B;FGF2;TNF;CXCL2;MMP9;BMP7;IL6;CYSLTR2;CCL5;CCL4;CCL3;HMOX1;CCN2;SKIL;CCR2
Metabolic Epileptic Disorders WP5355	31/92	0.004844824094876177	0.10739360076975527	0	0	1.8528722000114772	9.87552040950427	SLC25A1;GPI;ECHS1;GLDC;GLS2;SHMT1;SLC2A4;SLC2A5;HK2;ACAT1;LDHB;LDHA;MPC1;CBS;MPC2;DLAT;HADH;PCK1;PDHA1;MDH1;AMT;SUOX;ASS1;BTD;PC;PSAT1;ALDOC;ACO1;CDO1;DLD;OTC
Spinal Cord Injury WP2431	38/119	0.005528337031214633	0.1192327824570075	0	0	1.7110626287811888	8.893878071445593	RTN4R;CXCL8;ROCK2;AQP4;TNF;CXCL2;NTN1;RTN4;LTB4R;AQP1;ACAN;CCND1;PTPRZ1;MYC;PLXNA2;E2F1;SOX9;CCR2;ANXA1;GADD45A;BDNF;PLA2G2A;MMP9;RGMA;RHOB;GRIN1;SELP;MMP12;BCAN;IL6;VCAN;GAP43;COL2A1;COL4A1;NOX4;LTB;VIM;TLR4
Monoamine GPCRs WP58	14/33	0.005700072822603544	0.11970152927467442	0	0	2.6830849788348137	13.864241498025256	CHRM1;HTR2B;HTR1B;ADRB1;ADRA1D;ADRB2;ADRA1B;ADRA2C;ADRA1A;ADRA2B;ADRA2A;HTR7;DRD1;DRD4
Osteoarthritic Chondrocyte Hypertrophy WP5373	19/50	0.006016120423136107	0.12283902445685595	0	0	2.232667952885359	11.41632934342866	NTRK1;EPAS1;NGF;RUNX2;RELB;FOSL1;ACAN;COL3A1;COL2A1;AKT2;AKT3;KDR;SOX9;CCN2;FGFR4;JUNB;FGFR3;FGFR2;DDR2
Matrix Metalloproteinases WP129	13/30	0.006157344584303556	0.12283902445685595	0	0	2.7842544872934067	14.172160684926004	MMP7;MMP3;TNF;MMP9;MMP20;MMP12;MMP27;MMP16;MMP15;MMP28;TIMP3;MMP19;TIMP4
Integrin Mediated Cell Adhesion WP185	33/101	0.006352914761342917	0.12364941413540605	0	0	1.7694029748252325	8.951129294568572	ITGB1;ITGB4;ROCK2;ITGB3;ITGB2;ITGAL;AKT2;AKT3;ITGAX;RAC2;CAPN3;ITGB8;PAK6;ITGB7;FYN;PAK3;MAPK4;TNS1;PAK4;MAP2K1;CAV2;CAV1;ITGA2;ITGA1;SORBS1;MAPK10;CAPN11;CAPN10;ITGA10;ITGA7;ITGA5;TLN1;SOS1
Mammary Gland Development Pathway Embryonic Development Stg 1/4 WP2813	8/15	0.00690301091689028	0.12810703980647545	0	0	4.158907016845736	20.69387954385978	ITGB1;CLDN4;ZEB2;SFRP1;CCND1;NRG3;MYC;TNF
COVID 19 Adverse Outcome Pathway WP4891	8/15	0.00690301091689028	0.12810703980647545	0	0	4.158907016845736	20.69387954385978	ACE2;IL6;CXCL8;IL7;CCL3;TMPRSS2;TNF;AGT
NRF2 Pathway WP2884	43/141	0.008233639599011095	0.14817667510184152	0	0	1.6004575478681995	7.6814394157213854	MGST3;PDGFB;TGFA;GSTT2;SLC5A1;SLC2A4;SLC6A20;SLC5A2;SLC2A5;AGER;SLC2A6;SLC2A7;SLC5A5;SLC6A4;ME1;HMOX1;SLC39A4;NQO1;G6PD;TGFB2;SLC6A17;GPX3;HGF;SLC6A14;SLC2A12;SLC6A11;PGD;PRDX6;CES4A;TGFBR2;SLC2A9;SLC5A7;SLC5A8;GCLC;SLC5A9;SLC6A8;GSTA2;GSTA1;FGF13;CES3;EPHA3;UGT2B7;CES1
Antiviral And Anti-Inflam Effects Of Nrf2 On SARS CoV 2 Pathway WP5113	13/31	0.008541512599855526	0.14817667510184152	0	0	2.6294058408862035	12.523379279151467	NQO1;GUCY1A2;GUCY1B1;CXCL8;MMP3;TMPRSS2;TNF;ACE2;GCLC;IL6;GSTA2;HMOX1;IL12A
Ethanol Effects On Histone Modifications WP3996	13/31	0.008541512599855526	0.14817667510184152	0	0	2.6294058408862035	12.523379279151467	ACSS2;HDAC10;ADH1B;ADH1A;MAT1A;TYMS;HDAC9;DHFR;KAT2B;ALDH2;ALDH1A1;CYP2E1;SLC19A1
Differentiation Of White And Brown Adipocyte WP2895	11/25	0.010015973695152622	0.16862026462370108	0	0	2.8599634975941597	13.16605385847433	CEBPA;BMP2;ZIC1;PRDM16;ADIPOQ;CIDEA;SMAD9;EBF3;PPARG;HOXC8;BMP7
GPCRs Class A Rhodopsin Like WP455	72/259	0.010269559035818564	0.16862026462370108	0	0	1.4059282182584283	6.437142439655635	GPR27;GPR25;CHRM1;GPR68;GPR21;HTR2B;GPR20;ADRA1D;ADRA1B;ADRA1A;LTB4R;GPR174;CYSLTR1;HTR7;CYSLTR2;ADORA3;GPR171;CCRL2;FFAR3;FFAR2;CCR6;CCR5;CMKLR2;CCR2;LHCGR;NPY5R;F2R;AVPR1A;SSTR1;ADRA2C;SSTR2;SSTR3;ADRA2B;ADRA2A;AGTR1;APLNR;OR3A1;CX3CR1;SUCNR1;NPY4R;PTGER3;CXCR4;ADRB1;GPR83;ADRB2;OR1Q1;HCAR3;CXCR1;HRH3;TBXA2R;CNR1;GALR1;CXCR3;CXCR2;DRD1;DRD4;P2RY13;P2RY10;OPN4;GPR15;GPR12;HTR1B;OPRK1;GPR4;MC1R;LPAR5;F2RL1;ACKR3;ACKR2;RGL4;OR7C1;GPR19
Mammary Gland Development Pathway Puberty Stage 2 Of 4 WP2814	7/13	0.01077648307745458	0.16862026462370108	0	0	4.244836388953353	19.230760133678515	FOSL1;CCND1;EGF;MYC;NRIP1;FN1;VIM
EDA Signaling In Hair Follicle Development WP3930	7/13	0.01077648307745458	0.16862026462370108	0	0	4.244836388953353	19.230760133678515	EDAR;DKK4;SOSTDC1;LTB;GLI1;DKK1;RELB
Disorders Of Galactose Metabolism WP5173	7/13	0.01077648307745458	0.16862026462370108	0	0	4.244836388953353	19.230760133678515	GYS2;GYS1;GBE1;SLC5A1;PYGL;GYG2;PGM1
Overview Of Nanoparticle Effects WP3287	9/19	0.011101428141160595	0.1689652646221022	0	0	3.2752728117018806	14.740959808639913	IL6;CXCL8;COL4A1;AKT3;FN1;PIK3CD;HMOX1;TNF;PTGS1
Major Receptors Targeted By Epinephrine And Norepinephrine WP4589	8/16	0.011222003790690998	0.1689652646221022	0	0	3.638811513463324	16.33782268554936	ADRB1;ADRA1D;ADRB2;ADCY1;ADRA2C;ADRA2B;ADRA2A;ADCY5
NRP1 Triggered Signaling In Pancreatic Cancer WP5144	19/53	0.012129891425844697	0.17925283995970498	0	0	2.035277690317458	8.979813094224394	NRP1;MAP2K1;TGFB2;FLT1;EGF;HGF;SEMA3A;MMP9;TGFBR2;RELB;CDH5;AKT2;AKT3;KDR;PECAM1;PLXNA2;CCN2;SLC39A4;PLXNA4
Chronic Hyperglycemia Impairment Of Neuron Function WP5283	17/46	0.01239521006402319	0.179843229656191	0	0	2.1346985265218055	9.372276826972046	SNAP25;TKTL1;MMP7;BDNF;MMP3;PRKCZ;AGER;MMP9;MMP20;MMP12;MMP27;MMP16;MMP15;SCN8A;MMP28;MMP19;PRKCQ
Vitamin A And Carotenoid Metabolism WP716	16/43	0.014005160138173444	0.19632326189544339	0	0	2.1577260981912145	9.209885819687896	RETSAT;CRABP2;DGAT1;ADH1A;CRABP1;LPL;DHRS3;RBP7;CYP26B1;NPC1L1;RDH10;ALDH1A1;LRAT;CD36;CYP2E1;RXRG
Hair Follicle Development Cytodifferentiation Stage 3 Of 3 WP2840	28/87	0.014023090135388813	0.19632326189544339	0	0	1.7293036933974197	7.37902534665916	FOXQ1;WIF1;PERP;SOSTDC1;CCN2;SOX9;PROM1;PHLDA1;CD34;ELANE;FZD1;GSDMA;IGFBP5;BCL11B;ZBTB16;IGF1;RUNX3;DKK1;FOXN1;BMP6;DKK4;SFRP1;KRT19;KRT15;TCF4;GPRC5D;DSG4;DSC2
Ketogenesis And Ketolysis WP4742	5/8	0.014501522313309947	0.19952094493140238	0	0	6.062398515425655	25.6651741055329	SLC16A1;OXCT1;UCP2;SLC25A20;ACAT1
Mechanoreg And Pathology Of YAP TAZ Hippo And Non Hippo Mechs WP4534	17/47	0.015599280044739653	0.21098687246952955	0	0	2.0634100953710166	8.584880670402127	ITGB1;MAP4K1;TEAD4;ITGB4;ITGB3;ITGB2;MST1;MAPK10;ACTC1;ITGB8;PAK6;ITGB7;PAK3;TEAD1;PAK5;PAK4;MAP4K4
GPR143 In Melanocytes And Retinal Pigment Epithelium Cells WP4941	12/30	0.017219595587093094	0.21590703045053142	0	0	2.426579925650558	9.856057313914963	PMEL;GNA15;GPR143;MC1R;MLANA;PRKACG;SERPINF1;TYRP1;ASIP;ARRB1;PRKACA;PLCB2
Oligodendrocyte Differentiation Leading To Myelin For CNS WP4304	12/30	0.017219595587093094	0.21590703045053142	0	0	2.426579925650558	9.856057313914963	BMP2;PDGFB;PLP1;SOX8;OLIG1;SOX9;IGF1;FGF2;TNF;CXCL2;SOX10;SOX5
T Cell Antigen Receptor TCR Pathway During Staph A. Infection WP3863	21/62	0.0172256958111037	0.21590703045053142	0	0	1.8654873789715778	7.576402888928876	MAP2K1;CBL;CD3D;TNF;ZAP70;CD40LG;CD8A;LCK;GRAP2;CHP1;CTLA4;PRKCQ;FYN;PTPN6;PDCD1;SOS1;ICOS;CALM1;CARD11;LAT;PDK1
Mitochondrial Long Chain Fatty Acid Beta Oxidation WP368	8/17	0.01724501210986008	0.21590703045053142	0	0	3.2342927886103374	13.131980146195527	PECR;ACADL;ACSL1;EHHADH;ACSL4;SLC25A20;ACADM;HADH
Female Steroid Hormones In Cardiomyocyte Energy Metabolism WP5318	7/14	0.017586412254742532	0.21590703045053142	0	0	3.638199118124855	14.700611795159192	ACLY;NOS3;AKT2;SLC2A4;ACADM;PPARA;APOB
Somatic Sex Determination WP4814	7/14	0.017586412254742532	0.21590703045053142	0	0	3.638199118124855	14.700611795159192	NR5A1;FGF9;DHH;SOX8;RSPO1;SOX9;WNT4
