Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers	62/95	5.778658341989311E-20	1.021771861379019E-17	0	0	6.912296448262598	306.19766153163806	IGHM;SH3KBP1;IGHV1-2;IGHV3-23;PIK3CD;IGHV4-39;IGLV2-8;IGKV1-16;IGKV1-17;IGKV2-28;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;BTK;IGHD;IGKV4-1;IGHV7-81;SOS1;IGKV2-30;IGLV3-19;BLK;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;DAPP1;IGLV3-1;IGHV1-69;CD79A;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;FYN;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;PTPN6;CALM1;IGKV3-20
Anti-inflammatory Response Favouring Leishmania Parasite Infection	84/159	4.5444389435464E-18	6.799179803998267E-16	0	0	4.130926275992438	164.95873979048886	IGHV3-23;IGHV1-2;CD3G;IGHV4-39;IGLV8-61;IGHG3;IGLV2-8;IGHG4;CYSLTR1;IGHG1;FCGR3A;CYSLTR2;IGHG2;IGKV1-16;GNAT3;IGKV1-17;IGKV2-28;PRKACG;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;PRKACA;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;FGR;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;GNAZ;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;ADCY1;GNAI1;ADCY5;IGLV3-25;IGLV1-40;GNG2;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV5-45;IGLV2-14;PRKAR2B;IGKV1-39;IGLV3-21;GNG7;IGLV1-44;IGKV3-15;IGLV2-18;FYN;IGKV1-33;IGKV3-11;FCGR1A;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;GNG11;IGKV1D-12;IL6;IGLV1-51;IGLV2-23;GNB3;CALM1;IGKV3-20
Leishmania Parasite Growth and Survival	84/159	4.5444389435464E-18	6.799179803998267E-16	0	0	4.130926275992438	164.95873979048886	IGHV3-23;IGHV1-2;CD3G;IGHV4-39;IGLV8-61;IGHG3;IGLV2-8;IGHG4;CYSLTR1;IGHG1;FCGR3A;CYSLTR2;IGHG2;IGKV1-16;GNAT3;IGKV1-17;IGKV2-28;PRKACG;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;PRKACA;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;FGR;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;GNAZ;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;ADCY1;GNAI1;ADCY5;IGLV3-25;IGLV1-40;GNG2;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV5-45;IGLV2-14;PRKAR2B;IGKV1-39;IGLV3-21;GNG7;IGLV1-44;IGKV3-15;IGLV2-18;FYN;IGKV1-33;IGKV3-11;FCGR1A;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;GNG11;IGKV1D-12;IL6;IGLV1-51;IGLV2-23;GNB3;CALM1;IGKV3-20
Cell Surface Interactions at the Vascular Wall	109/233	8.047923555995202E-18	1.118086522600762E-15	0	0	3.2511865784368603	127.97033712038913	IGHV3-23;IGLV8-61;IGLV2-8;VPREB3;IGKV1-16;IGKV1-17;IGKV1-12;SLC16A8;IGHV3-7;CXADR;IGHV3-30;ATP1B3;IGKV1D-39;ATP1B1;IGKV1D-33;IGKV2D-28;PSG4;IGKV4-1;IGHV7-81;IGLV10-54;GRB7;IGKV2D-30;IGHV4-59;IGHV1-69;IGLV1-40;IGLV1-47;IGLV6-57;IGLV2-14;INPP5D;TSPAN7;IGLV1-44;IGKV3-15;IGLV2-18;APOB;IGHA1;IGKV3-11;IGHA2;IGKV2D-40;IGHV3-11;CAV1;FN1;IGKV1D-16;L1CAM;IGKV1D-12;SELP;IGLV1-51;SELL;IGLV2-23;ESAM;IGKV3-20;ITGB1;IGHM;ITGB3;IGHV1-2;ITGB2;IGHV4-39;ITGAL;JCHAIN;SPN;THBD;IGKV2-28;IGLV7-46;IGLC3;ITGAX;OLR1;IGLC2;PF4V1;IGKV3D-20;IGLV4-69;SLC7A5;IGLV5-37;CEACAM1;SLC7A6;IGLV3-16;CEACAM6;LCK;IGLV3-12;PECAM1;CD48;ITGA5;SOS1;IGLV3-19;IGKV2-30;IGHV2-70;SELPLG;IGHV2-5;IGLV3-1;IGLV3-25;IGLV3-27;IGKC;IGLV5-45;EPCAM;IGLV3-21;IGKV1-39;FYN;IGKV1-33;ANGPT4;SLC16A1;ANGPT2;ANGPT1;IGHV3-53;IGLC7;IGKV5-2;IGKV1-5;PTPN11;CD2;IGLL1;PTPN6;TEK
Eukaryotic Translation Elongation	60/99	4.507299053068675E-17	5.522696564612563E-15	0	0	5.655364372469635	212.85800953197528	RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;EEF1B2;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;EEF1G;RPL24;RPL27;RPL26;RPL29;RPL28;RPL12;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RPS24
Peptide Chain Elongation	58/94	4.5430922896555785E-17	5.522696564612563E-15	0	0	5.92077657742289	222.80082785486573	RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL26;RPL29;RPL28;RPL12;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RPS24
FCERI Mediated Ca+2 Mobilization	64/110	7.402172163320912E-17	8.468955798623043E-15	0	0	5.116937298049	190.0541708054892	IGHV3-23;IGHV1-2;IGHV4-39;IGLV8-61;IGLV2-8;IGKV1-16;IGKV1-17;IGKV2-28;GRAP2;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;BTK;IGKV4-1;IGHV7-81;SOS1;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;IGLV3-25;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV5-45;IGLV2-14;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;CALM1;IGKV3-20;LAT
Complement Cascade	74/139	2.4975199516731814E-16	2.698709058891299E-14	0	0	4.191803575961992	150.5950004759415	FCN2;IGHV3-23;IGHV1-2;IGHV4-39;C4BPB;IGLV8-61;C4B;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;MASP2;MASP1;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;COLEC11;IGHV2-5;IGKV2D-30;CFI;IGHV4-59;IGLV3-1;IGHV1-69;CPN2;IGLV3-25;C6;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV5-45;IGLV2-14;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;ELANE;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;GZMM;IGLV1-51;IGLV2-23;IGKV3-20
Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell	102/223	6.100736437045263E-16	6.19755562476783E-14	0	0	3.1132470670374626	109.06623505316621	IGHV3-23;TRAC;ICAM5;IGLV8-61;IGLV2-8;IGKV1-16;IGKV1-17;TRBC1;IGKV1-12;IGHV3-7;HLA-H;CXADR;IGHV3-30;CD300A;IGKV1D-39;IGKV1D-33;IGKV2D-28;CD8B;CD8A;IGKV4-1;IGHV7-81;CD226;IGLV10-54;COL17A1;IGKV2D-30;KLRB1;IGHV4-59;IGHV1-69;KLRK1;IGLV1-40;IGLV1-47;IGLV6-57;IGLV2-14;IGLV1-44;IGKV3-15;SLAMF7;IGLV2-18;SLAMF6;KLRC1;IGKV3-11;CD300LG;IGKV2D-40;IGHV3-11;SIGLEC10;SH2D1B;PILRB;IGKV1D-16;IGKV1D-12;TREML1;IGLV1-51;SELL;IGLV2-23;IGKV3-20;ITGB1;IGHV1-2;ITGB2;CD3G;IGHV4-39;TREM2;CD3E;ITGAL;CD3D;FCGR3A;IGKV2-28;IGLV7-46;IGLC3;ITGB7;IGLC2;CD34;PIANP;SFTPD;IGKV3D-20;IGLV4-69;IGLV5-37;COL2A1;IGLV3-16;IGLV3-12;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGLV3-1;LILRA4;LILRA5;IGLV3-25;IGLV3-27;IGKC;IGLV5-45;IGLV3-21;IGKV1-39;LAIR2;IGKV1-33;FCGR1A;LAIR1;KLRG1;IGHV3-53;IGLC7;IGKV5-2;IGKV1-5;COL3A1;CD40LG;SIGLEC8
FCERI Mediated MAPK Activation	63/111	6.83460755162216E-16	6.19755562476783E-14	0	0	4.825358570420879	168.49844480825294	IGHV3-23;IGHV1-2;IGHV4-39;IGLV8-61;IGLV2-8;IGKV1-16;IGKV1-17;IGKV2-28;GRAP2;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;SOS1;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;IGLV3-25;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV5-45;IGLV2-14;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;MAPK10;IGLV1-51;IGLV2-23;IGKV3-20;LAT
Eukaryotic Translation Termination	58/98	7.010088624416055E-16	6.19755562476783E-14	0	0	5.327336777829967	185.89214889540094	RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL12;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RPS24
Selenocysteine Synthesis	58/98	7.010088624416055E-16	6.19755562476783E-14	0	0	5.327336777829967	185.89214889540094	RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL12;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RPS24
Regulation of Complement Cascade	69/128	1.084565868756371E-15	9.171654846657137E-14	0	0	4.302638352895165	148.25857671825815	IGHV3-23;IGHV1-2;IGHV4-39;C4BPB;IGLV8-61;C4B;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;IGHV2-5;IGKV2D-30;CFI;IGHV4-59;IGLV3-1;IGHV1-69;CPN2;IGLV3-25;C6;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV5-45;IGLV2-14;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;ELANE;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Nonsense Mediated Decay (NMD) Independent of the Exon Junction Complex (EJC)	58/100	2.5183124254148707E-15	2.0408823614299684E-13	0	0	5.0730054351472855	170.5300283338397	RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL12;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RPS24
Viral mRNA Translation	58/102	8.568838428768824E-15	6.666556297582145E-13	0	0	4.841795123617575	156.8288631902997	RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL12;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RPS24
